Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_NC_00163,71,71,58,20,15,20,148,151,152,161,407,381
PCA_NC_00089,90,120,65,16,10,16,666,635,639,332,318,503
PCA_NC_00088,0,0,0,4,0,2,18,14,12,29,15,15
PCA_NC_00087,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00086,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00085,0,0,0,0,0,2,12,2,7,4,19,4
PCA_NC_00084,0,0,3,0,0,0,4,0,4,34,14,3
PCA_NC_00083,3837,3364,3404,172,148,226,1382,1434,1310,564,814,984
PCA_NC_00081,1600,1598,1542,279,271,384,2493,2432,2507,4546,5502,6308
PCA_NC_00080,356,396,360,112,108,149,797,727,732,573,628,743
PCA_NC_00007,2,0,0,4,4,3,825,735,768,22,38,28
PCA_NC_00006,1278,1333,1163,94,82,118,1794,1574,1614,1978,2721,2703
PCA_NC_00005,6026,5932,5805,0,2,2,34,46,51,919,844,1136
PCA_NC_00004,817,899,844,48,30,66,880,935,893,140,130,193
PCA_NC_00003,2,2,0,4,2,3,8,5,2,70,54,102
PCA_NC_00002,149,116,169,90,71,60,141,140,161,1421,1663,2080
PCA_NC_00001,3894,3759,3595,530,394,572,3286,3093,3111,797,1414,1616
PCA_NC_00009,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00008,1816,1644,1692,112,68,124,1842,2012,1904,1712,3552,3720
PCA_NC_00133,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00132,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00131,0,0,0,0,0,0,0,2,0,0,0,0
PCA_NC_00130,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00137,307,333,223,20,20,22,333,302,314,175,163,241
PCA_NC_00136,195,189,126,32,32,34,713,640,591,254,230,313
PCA_NC_00135,9,6,7,0,2,5,94,163,146,94,70,67
PCA_NC_00134,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00139,10,6,4,0,6,2,49,62,51,14,24,30
PCA_NC_00138,114,132,75,12,12,16,146,140,120,10,22,18
PCA_NC_00076,7192,6889,7071,652,475,690,5633,5653,5739,11280,12332,13799
PCA_NC_00077,0,0,0,5,4,0,12,13,13,157,211,237
PCA_NC_00074,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00075,0,0,0,0,2,2,6,0,2,4,30,25
PCA_NC_00072,127,103,79,4,4,4,5458,5308,5903,42,19,14
PCA_NC_00073,1283,1338,1036,1183,870,1325,6934,7001,6784,7761,8667,9405
PCA_NC_00070,1434,1133,847,0,0,0,295,309,368,0,0,0
PCA_NC_00071,0,0,0,0,0,0,0,4,4,0,4,6
PCA_NC_00078,92,60,87,20,31,38,515,487,490,41,16,21
PCA_NC_00079,6324,5815,6314,104,63,106,1675,1722,1624,800,1349,1384
PCA_NC_00148,20,12,28,10,6,16,135,113,96,187,524,584
PCA_NC_00149,5,1,1,474,342,488,2565,2612,2647,37869,82808,88518
PCA_NC_00142,0,0,0,0,0,0,52,51,41,0,0,4
PCA_NC_00143,2,0,2,0,2,6,8,8,2,10,0,0
PCA_NC_00140,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00141,2,4,0,0,0,0,6,8,12,0,0,0
PCA_NC_00146,17,18,4,8,15,12,204,226,210,1723,3302,3907
PCA_NC_00147,8,1,7,0,1,6,84,77,100,382,912,1062
PCA_NC_00144,266,250,216,24,14,18,484,425,442,138,368,346
PCA_NC_00145,117,91,53,4,2,0,231,212,219,4,32,52
PCA_NC_00029,90,90,59,0,0,0,167,158,182,22,22,12
PCA_NC_00028,1659,1486,1361,279,215,349,2289,2223,2175,1203,1896,2275
PCA_NC_00025,1743,1435,1053,349,276,414,9616,9960,9575,5972,10464,11602
PCA_NC_00024,0,1,0,0,0,0,0,0,2,56,38,53
PCA_NC_00027,2806,2824,2762,211,147,191,1878,1770,1787,506,941,1172
