"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.pcontig_005.452" 2.399978041368 3.103314205068 -0.279339789132001 -2.773369824502 -2.450582632802 1
"evm.model.pcontig_006.75" 2.7332863987544 2.1621378637144 0.0289235242143997 -2.3334226469376 -2.5909251397456 1
"evm.model.pcontig_006.2" 3.702263563408 2.812895121088 -1.166860210512 -2.551577707372 -2.796720766612 1
"evm.model.pcontig_006.315" 3.80278118033084 4.75950005338084 -1.59861972889916 -2.78087521624916 -4.18278628856336 1
"evm.model.pcontig_006.16" 4.693643510176 4.971461084776 -2.281704785064 -4.258992568594 -3.124407241294 1
"evm.model.pcontig_006.199" 1.46210163025 3.24125930999 -0.86213921772 -1.52164348696 -2.31957823556 1
"evm.model.pcontig_002.442" 4.6450300792 5.10306297258 -2.70486185497 -4.07295575901 -2.9702754378 1
"evm.model.pcontig_002.92" 3.9477919426618 4.6982851898918 -1.6064277623182 -2.9478861732752 -4.0917631969602 1
"evm.model.pcontig_002.108" 3.520161566492 4.117729266952 -2.330231983887 -2.717954817987 -2.58970403157 1
"evm.model.pcontig_002.310" 1.902750607718 3.925989715568 -0.969785289662 -2.248430748582 -2.610524285042 1
"evm.model.pcontig_003.217" 2.66840927412 2.87230351047 0.31296823514 -3.25833868077 -2.59534233896 1
"evm.model.pcontig_003.225" 4.1470043434454 4.1651061744954 -2.0881021088746 -2.5238683100706 -3.7001400989956 1
"evm.model.pcontig_000.379" 2.6808094708622 3.5565911303122 0.6334307165322 -2.5843445986088 -4.2864867190978 1
"evm.model.pcontig_000.566" 4.22178484907678 0.71903837120678 -0.91759281506322 -1.30127625644322 -2.72195414877712 1
"evm.model.pcontig_000.332" 4.28571804067 5.0180041326 -2.878231078046 -3.111594985106 -3.313896110118 1
"evm.model.pcontig_000.663" 2.6860685498236 3.0780328919536 -1.3597244499264 -2.2060048204074 -2.1983721714434 1
"evm.model.pcontig_000.588" 3.948572340824 3.002332828524 -1.324809244036 -4.054750834576 -1.571345090736 1
"evm.model.pcontig_000.224" 4.1158202044508 2.9470794097808 -1.7537594272792 -3.3298766589832 -1.9792635279692 1
"evm.model.pcontig_000.508" 3.6144956670104 3.5242537834204 -2.3903374621036 -1.5584455020096 -3.1899664863176 1
"evm.model.pcontig_000.112" 6.0300642956504 0.6289902051804 -0.5636757532996 -3.6702675178416 -2.4251112296896 1
"evm.model.pcontig_001.622" 2.20528361810786 4.48093187275786 -1.71757803296214 -1.87689162600144 -3.09174583190214 1
"evm.model.pcontig_163.2" 3.345661538176 2.302148421576 -2.034306000644 -1.962105785704 -1.651398173404 1
"evm.model.pcontig_174.4" 3.59439589535254 5.66900464660254 -2.82955366190446 -2.98841613075546 -3.44543074929516 1
"evm.model.pcontig_174.5" 2.8826444361 3.37138860398 0.396286778569999 -3.24430374531 -3.40601607334 1
"evm.model.pcontig_176.2" 3.33295462321 2.39814309173 -2.09387540916 -1.73286919747 -1.90435310831 1
"evm.model.pcontig_104.33" -3.237442309968 -2.415467186918 4.654564199992 -0.993399152268 1.991744449162 2
"evm.model.pcontig_104.47" -2.6860441179692 -1.1454771142412 3.7271056642108 -0.5873787293222 0.6917942973218 2
"evm.model.pcontig_073.82" -3.8593658212424 -3.0029688070404 3.3006133750176 1.9105757864276 1.6511454668376 2
"evm.model.pcontig_073.54" -3.4935870975828 -2.6548877585528 5.2727858389172 1.2286945694772 -0.3530055522588 2
"evm.model.pcontig_074.55" -3.369251975308 -2.596719526328 2.955614572282 1.717300820522 1.293056108832 2
"evm.model.pcontig_074.62" -2.94517994261 -2.20230092853 2.92036295519 1.71777800299 0.50933991296 2
"evm.model.pcontig_077.61" -4.700841571906 -3.369966931046 4.656884129844 1.235222212304 2.178702160804 2
